------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=119.999 sec; Warm up time=400 msec; SentMessages=12001; ReceivedMessages=12000
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=66.328 (std-dev=100.572, mean-ad=21.204, median-ad=16.105, siqr=11.703, cv=1.516, std-error=0.920, 99.0% ci=[63.959, 68.697])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 4016.060
sockperf: ---> percentile 99.999 = 4016.060
sockperf: ---> percentile 99.990 = 3518.218
sockperf: ---> percentile 99.900 = 1885.813
sockperf: ---> percentile 99.000 =  223.075
sockperf: ---> percentile 90.000 =   85.152
sockperf: ---> percentile 75.000 =   70.596
sockperf: ---> percentile 50.000 =   56.554
sockperf: ---> percentile 25.000 =   47.190
sockperf: ---> <MIN> observation =   21.605
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
209, 9.507140468, 9.507187405, 46.937
210, 9.517140465, 9.517192058, 51.593
211, 9.527140460, 9.527224211, 83.751
212, 9.537140470, 9.537217201, 76.731
213, 9.547140460, 9.547220448, 79.988
214, 9.557140468, 9.557213651, 73.183
215, 9.567140495, 9.567230019, 89.524
216, 9.577140468, 9.577214770, 74.302
217, 9.587140465, 9.587217400, 76.935
218, 9.597140465, 9.597212740, 72.275
219, 9.607140485, 9.607208593, 68.108
220, 9.617140922, 9.617237235, 96.313
221, 9.627140533, 9.627197308, 56.775
222, 9.637140706, 9.637219939, 79.233
223, 9.647140515, 9.647184092, 43.577
224, 9.657140488, 9.657187820, 47.332
225, 9.667140568, 9.667203489, 62.921
226, 9.677140998, 9.677211867, 70.869
227, 9.687140471, 9.687180589, 40.118
228, 9.697140491, 9.697188255, 47.764
229, 9.707140568, 9.707234132, 93.564
230, 9.717140466, 9.717205768, 65.302
231, 9.727140469, 9.727204458, 63.989
232, 9.737140466, 9.737201436, 60.970
233, 9.747140467, 9.747187091, 46.624
234, 9.757140465, 9.757438735, 298.270
235, 9.767140535, 9.767218995, 78.460
236, 9.777140487, 9.777208133, 67.646
237, 9.787140501, 9.787181785, 41.284
238, 9.797140466, 9.797197969, 57.503
239, 9.807140463, 9.807181747, 41.284
240, 9.817140467, 9.817199387, 58.920
241, 9.827140469, 9.827196370, 55.901
242, 9.837140530, 9.837200125, 59.595
243, 9.847140465, 9.847193051, 52.586
244, 9.857140463, 9.857190131, 49.668
245, 9.867140469, 9.867220587, 80.118
246, 9.877140612, 9.877241280, 100.668
247, 9.887140468, 9.887187731, 47.263
248, 9.897140502, 9.897187726, 47.224
249, 9.907140481, 9.907210775, 70.294
250, 9.917140467, 9.917191086, 50.619
251, 9.927140469, 9.927192070, 51.601
252, 9.937140491, 9.937224003, 83.512
253, 9.947140467, 9.947200415, 59.948
254, 9.957140514, 9.957195580, 55.066
255, 9.967140495, 9.967203816, 63.321
256, 9.977140468, 9.977220409, 79.941
257, 9.987140469, 9.987216754, 76.285
258, 9.997140468, 9.997206009, 65.541
259, 10.007140464, 10.007238246, 97.782
260, 10.017140466, 10.017181873, 41.407
261, 10.027140471, 10.027185064, 44.593
262, 10.037140466, 10.037191978, 51.512
263, 10.047140467, 10.047206162, 65.695
264, 10.057140464, 10.057191373, 50.909
265, 10.067140499, 10.067206543, 66.044
266, 10.077140605, 10.077216742, 76.137
267, 10.087140478, 10.087199853, 59.375
268, 10.097140474, 10.097184575, 44.101
269, 10.107140471, 10.107180369, 39.898
270, 10.117140469, 10.117181758, 41.289
271, 10.127140469, 10.127188207, 47.738
