------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=120.000 sec; Warm up time=400 msec; SentMessages=12002; ReceivedMessages=12001
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=56.053 (std-dev=81.477, mean-ad=15.600, median-ad=10.775, siqr=8.570, cv=1.454, std-error=0.745, 99.0% ci=[54.134, 57.972])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 6822.542
sockperf: ---> percentile 99.999 = 6822.542
sockperf: ---> percentile 99.990 = 2870.027
sockperf: ---> percentile 99.900 =  512.987
sockperf: ---> percentile 99.000 =  127.601
sockperf: ---> percentile 90.000 =   75.543
sockperf: ---> percentile 75.000 =   59.294
sockperf: ---> percentile 50.000 =   48.161
sockperf: ---> percentile 25.000 =   42.153
sockperf: ---> <MIN> observation =   32.717
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
278, 10.203339330, 10.203429706, 90.376
279, 10.213339325, 10.213419671, 80.346
280, 10.223339339, 10.223429145, 89.806
281, 10.233339334, 10.233389820, 50.486
282, 10.243339325, 10.243387538, 48.213
283, 10.253339321, 10.253396471, 57.150
284, 10.263339324, 10.263412934, 73.610
285, 10.273339325, 10.273396376, 57.051
286, 10.283339326, 10.283391803, 52.477
287, 10.293339324, 10.293390475, 51.151
288, 10.303339328, 10.303387101, 47.773
289, 10.313339323, 10.313382547, 43.224
290, 10.323339321, 10.323384317, 44.996
291, 10.333339324, 10.333399716, 60.392
292, 10.343339321, 10.343401151, 61.830
293, 10.353339330, 10.353409688, 70.358
294, 10.363339326, 10.363385376, 46.050
295, 10.373339420, 10.373413879, 74.459
296, 10.383339333, 10.383379843, 40.510
297, 10.393339336, 10.393379486, 40.150
298, 10.403339357, 10.403382766, 43.409
299, 10.413339339, 10.413376226, 36.887
300, 10.423339321, 10.423376324, 37.003
301, 10.433339327, 10.433376206, 36.879
302, 10.443339321, 10.443378013, 38.692
303, 10.453339326, 10.453380996, 41.670
304, 10.463339372, 10.463387977, 48.605
305, 10.473339332, 10.473389855, 50.523
306, 10.483339344, 10.483391795, 52.451
307, 10.493339334, 10.493391130, 51.796
308, 10.503339338, 10.503394281, 54.943
309, 10.513339337, 10.513409498, 70.161
310, 10.523339339, 10.523391273, 51.934
311, 10.533339337, 10.533384509, 45.172
312, 10.543339339, 10.543377269, 37.930
313, 10.553339339, 10.553404060, 64.721
314, 10.563339339, 10.563397724, 58.385
315, 10.573339335, 10.573385963, 46.628
316, 10.583339331, 10.583417082, 77.751
317, 10.593339327, 10.593391769, 52.442
318, 10.603339349, 10.603381065, 41.716
319, 10.613339336, 10.613395824, 56.488
320, 10.623339332, 10.623384136, 44.804
321, 10.633339340, 10.633391410, 52.070
322, 10.643339334, 10.643388663, 49.329
323, 10.653339332, 10.653399083, 59.751
324, 10.663339335, 10.663403339, 64.004
325, 10.673339340, 10.673386825, 47.485
326, 10.683339331, 10.683384718, 45.387
327, 10.693339337, 10.693395606, 56.269
328, 10.703339337, 10.703383235, 43.898
329, 10.713339337, 10.713387339, 48.002
330, 10.723339337, 10.723385305, 45.968
331, 10.733339334, 10.733395518, 56.184
332, 10.743339336, 10.743385354, 46.018
333, 10.753339364, 10.753426750, 87.386
334, 10.763340027, 10.763478861, 138.834
335, 10.773339799, 10.773434646, 94.847
336, 10.783339624, 10.783426434, 86.810
337, 10.793339458, 10.793404235, 64.777
338, 10.803339478, 10.803384195, 44.717
339, 10.813339443, 10.813409599, 70.156
340, 10.823339326, 10.823386611, 47.285
341, 10.833339326, 10.833379861, 40.535
342, 10.843339327, 10.843388311, 48.984
343, 10.853339324, 10.853386851, 47.527
344, 10.863339376, 10.863401194, 61.818
345, 10.873339329, 10.873388539, 49.210
346, 10.883339321, 10.883391032, 51.711
